Fecha,Hidraulica,Turbina_bombeo,Nuclear,Carbon,Motores_diesel,Turbina_de_gas,Turbina_de_vapor,Ciclo_combinado,Hidroeolica,Eolica,Solar_fotovoltaica,Solar_termica,Otras_renovables,Cogeneracion,Residuos_no_renovables,Residuos_renovables,Generacion_total
2015-01-01,71096.101,7717.717,170691.638,110401.621,8505.139,1600.508,5714.393,77053.919,7.857,87789.031,19649.742,8548.067,8484.308,44583.988,4817.7325,2362.1405,629023.902
2015-01-02,101890.114,19226.148,170694.173,145824.697,8913.111,2529.759,6861.491,95763.421,7.627,55056.104,18686.983,8283.537,8744.023,60642.875,5272.1195,2348.2145,710744.3970000001
2015-01-03,82919.726,7346.234,170721.569,155672.299,9023.196,1767.598,6380.726,80251.5,8.524,86066.315,20239.403,8520.62,9021.465,64876.719,5879.656,2388.481,711084.031
2015-01-04,69056.368,8548.913,170722.657,143359.372,8962.055,1324.084,6252.905,71946.853,8.2,99284.874,19884.029,9279.768,9213.517,62509.909,6227.5365,2366.1475,688947.1880000001
2015-01-05,104975.898,3887.742,170748.753,169891.449,9090.126,1833.574,6911.216,112886.007,6.204,34499.671,17977.904,7636.251,9107.89,67436.854,6344.5685,2332.1515,725566.2590000002
2015-01-06,83775.118,3916.04,170793.523,166599.975,8948.695,1177.47,5303.755,79974.161,6.757,59617.183,14125.882,2038.815,9064.174,66116.211,6261.314,2361.101,680080.1739999999
2015-01-07,127713.256,13117.206,170787.229,201501.187,8416.243,2384.741,6978.274,146746.534,16.318,20936.259,13932.499,3878.193,9045.966,72662.534,5977.7515,1940.3645,806034.5549999999
2015-01-08,114577.831,5119.42,170859.085,217709.835,8979.426,2416.976,6552.124,137593.793,18.76,58508.47,16280.739,5880.396,9500.867,75676.664,6332.446,1818.022,837824.8539999998
2015-01-09,94535.39,6758.324,170952.491,216744.459,8646.45,2853.374,7047.343,106957.692,14.933,84450.01,19249.303,8751.041,9818.188,76048.84,7015.4445,1947.9015,821791.1839999999
2015-01-10,73408.383,8674.59,170870.338,193921.341,8853.536,2016.035,6460.213,85244.982,6.454,93248.782,19557.534,8315.697,10337.503,69527.653,7114.0755,2138.5865,759695.7030000001
2015-01-11,53615.221,10739.111,170497.852,145160.348,8580.512,1566.041,5884.248,69792.283,6.451,149280.29,17898.228,7659.965,9962.722,65096.149,7364.0165,2265.6885,725369.126
2015-01-12,78671.881,13190.536,170915.835,185494.132,8626.716,2636.444,7298.66,84141.144,15.523,146101.781,16583.594,4340.844,10126.588,73770.446,7257.6715,2253.8705,811425.6660000001
2015-01-13,74585.215,10271.711,170891.614,183987.496,8568.917,2791.252,7512.571,97641.985,17.767,154309.562,16903.485,5046.433,10138.613,75020.682,7263.285,2253.78,827204.368
2015-01-14,89542.81,10472.171,170891.046,192650.201,8740.779,2125.828,7063.483,100400.978,4.846,143222.947,15814.403,2643.638,9992.453,75214.995,7300.839,2309.021,838390.438
2015-01-15,64277.134,6937.865,170776.95,165665.834,8627.674,2296.598,6963.439,52779.303,19.523,228367.354,13196.557,1540.348,9428.509,72926.927,7182.849,2239.127,813225.9910000002
2015-01-16,66316.107,10270.968,170964.729,153652.994,9105.294,1824.987,7045.696,62346.371,13.651,241944.946,13234.585,3405.336,9797.919,75107.902,6980.599,2091.471,834103.555
2015-01-17,72136.9,11144.156,170919.711,156459.809,8293.87,1583.217,6392.615,65330.106,7.911,159764.72,19736.976,4969.725,9980.98,70044.404,6997.5545,2115.3725,765878.027
2015-01-18,64131.426,16900.609,170812.922,145525.527,8080.645,1557.28,6623.577,69465.627,7.417,143534.126,6092.003,217.906,9894.849,67031.127,7113.4995,2313.1135,719301.654
2015-01-19,81025.97,13202.837,164740.137,193769.457,8649.24,2119.601,7082.351,87398.826,15.728,172985.209,12424.984,4600.188,9882.42,74534.605,7008.4715,2115.4405,841555.4650000001
2015-01-20,115150.252,10114.211,146045.499,213571.483,8835.179,2130.674,6872.109,129573.097,9.063,103917.98,10652.312,804.123,10413.07,76680.75,7010.7475,2181.4125,843961.9619999999
2015-01-21,85176.06,9843.104,148790.0,205090.154,8980.97,2220.294,6807.472,86156.018,19.291,197558.266,12986.167,1759.063,10517.557,75791.881,6793.532,2158.708,860648.537
2015-01-22,72157.089,5901.691,168013.701,196383.345,9269.707,2451.149,6960.182,78945.621,17.325,236826.949,15396.263,3990.006,10450.903,75750.759,7105.543,2137.651,891757.884
2015-01-23,74312.932,4395.655,170890.725,195900.14,9099.513,2212.337,6824.134,73854.233,14.403,208638.58,21660.548,8130.299,10518.774,76875.149,7121.108,2208.116,872656.646
2015-01-24,64205.695,10768.015,170760.054,156898.133,8915.848,1984.519,5552.872,50428.468,8.387,204919.86,22209.148,10522.261,10466.244,68726.258,6762.537,1832.173,794960.472
2015-01-25,56027.286,8517.733,170786.682,108285.944,8673.565,1865.005,5362.098,44937.745,8.432,241813.1,22564.314,11701.557,9557.771,64434.443,6006.471,1674.115,762216.2609999999
2015-01-26,88019.297,14859.064,170842.994,178981.536,9286.472,2305.955,6696.634,79954.409,15.899,161297.153,21009.435,11852.891,9627.409,75479.154,5659.897,1656.382,837544.5809999999
2015-01-27,74338.335,9289.267,170875.946,194264.881,9410.56,2154.645,6423.661,67938.094,17.682,198013.462,20227.689,8368.184,9716.938,75828.986,5350.8155,1673.7695,853892.9150000002
2015-01-28,79016.892,10417.221,170939.936,181054.105,9428.7,2321.267,6274.179,75509.039,18.859,181474.114,21386.315,9807.514,10169.186,76080.995,5366.787,1720.305,840985.736
2015-01-29,64555.235,15567.556,170883.566,116758.9,9408.878,2237.746,6900.344,45059.198,17.795,325686.458,14332.172,1884.307,10305.215,73105.927,5281.33,1672.974,863657.601
2015-01-30,97013.577,20847.937,170925.772,44171.914,9028.393,2948.687,5490.501,40814.271,14.951,354135.48,8810.298,140.923,9605.381,67033.116,4915.6055,1623.0745,837519.8809999999
2015-01-31,116606.956,11057.284,171037.929,32063.392,9098.193,1748.716,5641.225,33494.078,12.451,321281.676,15736.763,2433.5,8912.434,49545.731,4609.163,1654.086,784933.5769999999
2015-02-01,114110.232,9246.46,171105.948,33530.963,8240.058,1219.641,5733.75,53323.385,12.616,268659.88,20256.167,10698.534,8365.934,48925.799,4795.4725,1713.3675,759938.207
2015-02-02,133004.699,12889.893,171095.762,105930.951,9528.651,1419.097,6499.677,65712.873,16.437,219889.43,9583.35,998.933,9017.012,69314.766,5855.866,2114.492,822871.889
2015-02-03,118754.215,9852.387,161459.713,122750.931,9503.724,2711.239,7128.231,61615.74,16.439,271347.792,12575.121,769.236,9036.659,72981.789,6333.2505,2084.5925,868921.059
2015-02-04,120702.908,7766.661,145336.597,121450.692,9910.755,2699.91,7461.699,69038.445,15.477,305781.856,16968.586,6323.267,8887.75,73047.23,6503.4605,2150.8475,904046.1410000001
2015-02-05,121017.792,11368.633,154552.855,127836.244,9972.647,2751.579,7589.94,73635.913,17.259,277359.481,22035.777,10910.563,8855.446,74554.779,6556.8165,2213.4075,911229.132
2015-02-06,133772.024,14078.055,170778.132,146180.108,9879.935,3096.53,7527.988,96049.87,14.318,201316.687,19474.455,10026.435,8893.134,75672.647,6533.9275,2234.5935,905528.8389999999
2015-02-07,145634.602,12308.54,171071.669,160622.724,9328.065,2526.383,7456.154,96709.176,1.137,89145.179,12087.536,4098.322,8963.138,71943.71,6790.922,2273.212,800960.469
2015-02-08,96719.808,7151.417,159972.89,123313.777,8834.1,2108.568,7184.216,65090.3,3.961,205146.337,22361.836,10323.252,8757.102,67468.383,6803.8905,2273.0295,793512.867
2015-02-09,111744.794,10938.268,163644.355,162478.547,9047.711,3861.751,7713.818,83984.079,12.172,208399.443,21089.29,10768.67,8940.749,74732.808,6548.59,2238.178,886143.223
2015-02-10,135170.484,9001.008,169377.274,217548.266,9597.969,3206.431,7784.596,103966.544,14.081,90088.91,15408.859,2335.097,9123.57,76622.051,6553.9975,2253.5525,858052.6900000001
2015-02-11,144177.931,7710.219,171049.139,215645.303,9354.387,3279.37,7791.603,122967.292,18.238,61568.18,13322.71,2765.292,8656.333,76160.221,6679.6625,2225.0805,853370.961
2015-02-12,146568.617,9752.49,171088.579,219168.124,9188.364,2511.889,6873.224,123726.417,17.452,43177.334,12332.635,5105.683,8565.473,77008.039,6685.326,2255.289,844024.935
2015-02-13,119478.449,7762.088,170269.194,194539.395,8962.289,2121.66,6266.001,68934.359,15.045,169610.395,19260.695,7452.627,8543.68,74868.288,6713.225,2228.277,867025.6669999998
2015-02-14,102895.235,6022.804,171066.4,64720.754,9112.428,1375.366,5242.08,42545.585,8.123,292034.794,10732.195,325.793,8198.795,61311.17,6664.2115,2186.7795,784442.513
2015-02-15,104242.443,6668.947,171073.683,53383.464,8703.753,1204.906,4688.793,48431.303,7.778,245875.407,12879.744,1186.324,7981.225,52226.479,6447.1215,2146.1575,727147.5279999999
2015-02-16,124428.611,11536.184,171055.418,121134.882,9112.18,1954.957,5731.916,76691.867,17.256,180237.938,14526.337,1143.193,8726.634,70035.196,6787.2645,2203.8535,805323.687
2015-02-17,109678.207,8756.129,171086.888,100068.812,8895.739,1260.926,4524.511,46480.231,19.485,303183.822,13105.931,1698.169,8861.47,70868.392,6602.48,2193.578,857284.7699999999
2015-02-18,130296.895,9915.214,171084.57,125829.447,8823.593,2208.7,5095.238,73321.317,17.793,194058.531,18379.549,10163.378,9363.175,72977.271,6775.4515,2220.4385,840530.561
2015-02-19,151809.577,16739.124,171089.891,147506.826,8902.193,2362.871,5939.06,98511.089,18.013,80847.72,23459.477,13307.01,9189.883,76716.538,6661.6665,2196.0775,815257.0160000002
2015-02-20,149706.59,15057.757,171105.012,150843.058,8615.329,2425.889,6019.576,79914.327,15.405,112776.606,19116.607,5803.784,8973.826,76417.126,6254.8445,2024.4635,815070.2000000001
2015-02-21,130272.834,9001.313,171168.724,50947.086,8814.721,2241.229,5953.904,49028.862,9.13,245191.38,15480.997,6019.987,8356.698,63227.016,6420.0425,2036.4445,774170.3679999998
2015-02-22,115191.148,8762.475,171122.274,34727.199,8563.68,1435.991,4854.414,47236.234,8.979,266240.799,24891.416,11158.361,7356.544,52711.35,6009.8395,1919.8525,762190.556
2015-02-23,121075.297,13834.567,171058.391,39627.698,8967.382,1868.071,6183.57,44229.653,9.038,326794.731,14212.4,1238.229,8772.844,64583.866,6160.0775,2018.0595,830633.8740000002
2015-02-24,127391.408,17834.777,171046.016,36831.298,8827.632,1822.642,5997.65,53915.332,9.45,323070.099,23592.482,12176.867,8463.582,64742.382,6262.1735,2043.1315,864026.922
2015-02-25,131879.491,11672.775,170952.504,50154.312,8863.347,1892.715,6560.87,49394.903,7.758,298953.722,20433.902,13741.446,8768.455,67545.194,6099.9305,2027.4325,848948.757
2015-02-26,141747.757,8592.362,171029.17,55290.692,8540.409,2075.366,6111.236,56123.798,5.36,258173.969,19425.679,8078.254,9156.704,69240.955,5777.477,2019.829,821389.0169999999
2015-02-27,140311.061,9510.243,171006.639,58034.886,8688.387,2434.806,5140.934,48779.732,7.749,256580.312,24952.974,13966.43,9412.356,69028.525,5345.9485,2009.5145,825210.4970000002
2015-02-28,137223.094,7608.859,171059.628,52765.017,8375.568,1562.075,5144.59,47676.748,8.392,197035.931,22280.809,8342.124,9141.538,60120.311,5990.772,2012.932,736348.3879999999
2015-03-01,118878.383,12008.025,170997.564,35990.155,8089.094,1368.3,4488.244,48620.236,7.03,220130.172,21611.498,6171.471,8543.205,50857.827,6277.6035,2045.5575,716084.365
2015-03-02,156996.671,14567.782,170927.885,72968.441,8446.901,2778.972,6124.101,74255.113,7.067,167079.302,21854.445,8589.106,9040.066,64153.929,6566.408,1961.967,786318.156
2015-03-03,175693.425,14942.562,169817.439,107442.262,8457.484,2842.54,6665.734,89269.504,8.258,57403.467,22937.035,8909.181,8495.339,69540.79,6644.1125,2011.0645,751080.197
2015-03-04,152502.261,11395.374,155711.501,62877.091,8087.696,2557.618,6550.078,51773.968,9.805,242629.834,24278.632,9925.358,8870.128,64259.95,6457.532,2019.228,809906.054
2015-03-05,150352.548,12595.418,148504.801,39771.603,8970.722,2606.784,6519.543,56855.415,5.933,262369.496,29950.963,15831.125,8895.707,61684.675,6509.127,2071.366,813495.2260000001
2015-03-06,174639.424,12837.373,155800.632,72679.831,8905.569,1981.695,6119.73,86734.282,6.47,98402.581,30585.409,22315.766,9396.271,71655.983,6766.775,2084.597,760912.3879999999
2015-03-07,155078.484,7559.289,165285.842,74617.477,8973.822,2653.702,5922.269,66542.631,7.491,59004.271,29736.042,22876.152,9888.213,65904.44,6871.808,2124.93,683046.863
2015-03-08,134691.368,8151.244,167664.217,54949.76,8578.64,1098.665,5496.183,58441.316,6.295,86482.325,26192.04,19050.144,9528.847,60233.447,6803.679,2223.218,649591.388
2015-03-09,162774.121,11418.268,167573.281,126387.735,9093.512,1648.324,6509.59,71303.473,26.427,66952.61,27409.824,20545.327,9765.767,68484.644,6895.0015,2283.7855,759071.6900000001
2015-03-10,163776.491,12790.9,167957.432,161277.286,8903.597,1852.375,6177.744,68143.041,19.707,27479.329,29287.182,21740.04,10044.955,70184.744,7219.595,2329.15,759183.5680000001
2015-03-11,157643.601,7975.353,170277.345,155612.768,9061.199,1372.65,6613.355,66129.28,10.515,48288.91,29470.419,23127.053,10136.758,70873.037,6839.3895,2319.4955,765751.1280000001
2015-03-12,142120.191,7519.122,170761.35,125824.534,8639.862,1607.417,6023.868,67549.314,14.856,82451.424,28594.85,21519.871,9919.713,71826.616,6953.3215,2328.9025,753655.212
2015-03-13,132234.529,9289.868,170743.011,85640.134,8543.135,1959.339,5703.777,47979.831,11.675,175713.677,25733.594,14561.809,10051.793,70508.687,7180.5945,2299.8315,768155.285
2015-03-14,111201.418,5278.259,162225.728,66112.442,8153.858,1753.522,5409.479,47645.848,9.112,170671.722,25298.026,18805.85,9244.335,64863.709,7358.5035,2333.0495,706364.8609999999
2015-03-15,108260.005,6525.731,164381.68,80175.554,8070.02,1410.21,4776.341,59489.1,9.324,95120.09,23829.455,20831.607,8949.311,63625.524,7125.5185,2289.4545,654868.9249999999
2015-03-16,148533.244,13373.905,169872.326,140514.95,9042.202,2093.821,5500.753,91858.685,5.868,50789.341,28444.758,19572.814,8390.098,72786.391,7157.856,2280.484,770217.496
2015-03-17,134653.829,10696.533,170839.332,148789.332,9018.623,2055.636,5537.727,63372.622,6.46,135323.958,17533.033,2033.095,8064.752,71787.082,6614.202,2291.135,788626.6260000002
2015-03-18,138326.083,13111.419,170902.452,128612.661,8987.271,2369.502,6026.559,64843.098,7.702,154669.313,8568.135,521.862,8099.84,70980.261,6785.4365,2320.0905,785131.6849999998
2015-03-19,91443.983,3895.102,170917.08,82844.118,8616.78,2826.062,6296.587,55150.011,7.681,230579.484,10953.363,1342.382,8074.454,67727.629,6519.325,2366.977,749561.0179999999
2015-03-20,91166.842,13481.029,170914.417,70387.512,9017.885,3069.987,6774.116,50209.794,7.047,278444.157,9215.977,196.018,8414.793,68573.768,6640.9725,2453.2665,788967.5810000001
2015-03-21,113171.21,11174.533,170948.239,66332.145,8808.242,1955.298,6257.788,58444.802,6.833,183333.362,11022.587,506.78,8469.956,66221.868,6842.0835,2488.1605,715983.8870000001
2015-03-22,84779.395,9882.324,170968.157,41584.56,8486.277,1520.161,5846.61,54667.674,6.219,183739.769,12733.925,302.265,8353.692,62492.806,6164.9005,2455.1605,653983.8950000001
2015-03-23,126974.049,14662.291,170913.689,124560.455,8250.892,2981.683,6452.159,81505.311,2.534,130306.133,11392.052,1335.332,8150.535,71497.112,5796.1165,2461.7295,767242.0730000001
2015-03-24,104661.096,8728.01,170968.932,123618.453,8241.095,2338.599,5621.594,63429.426,-0.605,216445.233,11804.74,2077.03,8484.566,70369.719,5804.2845,2498.9045,805091.0769999998
2015-03-25,84431.235,5376.817,170829.609,80727.978,8342.565,2398.717,5519.179,49934.89,-0.766,297178.668,24594.115,14613.711,8805.671,72502.706,5871.943,2570.189,833697.227
2015-03-26,88547.066,8808.951,170821.879,91873.477,8662.228,2429.691,6049.755,54779.206,-0.754,260465.817,21741.925,6077.72,8568.124,73784.846,6572.296,2560.292,811742.519
2015-03-27,94623.134,8767.47,170769.149,90642.969,9191.669,1715.655,5811.269,54845.592,-0.552,231812.132,29001.726,19424.356,8553.904,72404.947,6915.9,2546.84,807026.1600000001
